OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20665,Area archeologica  di Eboli,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Eboli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/7110,Museo Carcer Tullianum,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20164,Parco Archeologico della Sibaritide,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cassano_all_Ionio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104711,Tumulo del Molinello,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Asciano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141887,Museo di paesaggi e narrazioni (SMO - Slovensko multimedialno okno),Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Pietro_al_Natisone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100808,Museo del tesoro della Cattedrale di Aosta,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/140390,Santuario di Demetra a Macchia delle Valli,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vetralla,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103530,Museo Casa di Arlecchino,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Giovanni_Bianco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102574,Rete museale diocesana e museo delle devozioni popolari e dei pellegrinaggi,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cuneo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/150992,Villa de Claricini Dornpacher,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Moimacco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia
