Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bronte,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brugnato,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brunico_Bruneck,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buccino,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Budduso,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Budrio,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buggerru,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buonconvento,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busachi,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busca,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busseto,5.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cabras,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,2.20,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,3.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,4.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,9.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calasetta,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calice_al_Cornoviglio,3.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calolziocorte,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caltanissetta,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerino,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerino,3.10,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campli,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campo_Ligure,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campo_Tures_Sand_in_Taufers,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campobasso,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campobasso,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campodolcino,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Campogalliano,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canino,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canneto_sull_Oglio,3.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canosa_di_Puglia,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Canossa,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cantiano,1.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caorle,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capaccio_Paestum,15.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capodimonte,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capoliveri,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capri,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Capriolo,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carbognano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carbonia,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carbonia,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carloforte,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carmignano,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carpi,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carpineto_Romano,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Carpineto_Romano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casale_Monferrato,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casale_Monferrato,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casalmaggiore,3.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casalzuigno,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caselle_in_Pittari,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Caserta,18.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casole_d_Elsa,3.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cassano_all_Ionio,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cassino,5.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casteggio,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_di_Sangro,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castel_di_Sangro,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelbello-Ciardes_Kastelbell-Tschars,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Casteldelfino,35.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelfidardo,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelfiorentino,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelfranco_Veneto,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castell_Arquato,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castell_Arquato,3.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castell_Arquato,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellania,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelleone_di_Suasa,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelli,3.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelnuovo_Rangone,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelnuovo_di_Farfa,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelplanio,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castenaso,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiadas,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_Olona,3.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_Olona,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_del_Lago,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_della_Pescaia,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_della_Pescaia,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_delle_Stiviere,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castrocaro_Terme_e_Terra_del_Sole,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Castroreale,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catania,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catanzaro,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Catanzaro,3.00,1
