Archive_ID,Archive_Name,Archive_City,Archive_Region,Archive_Latitude,Archive_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/120161,Archivio di Stato di Frosinone,http://dati.beniculturali.it/mibact/luoghi/resource/City/Frosinone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.64492,13.346511,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20701,Archivio di stato di Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,39.213512,9.119642,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106566,Archivio di Stato di Novara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Novara,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,45.44711,8.624424,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126358,Archivio di Stato di Cuneo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cuneo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,44.390583,7.544007,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116633,Archivio di Stato di Ragusa. Sezione di Modica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Modica,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,36.860718,14.758959,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111772,Archivio di Stato di Ferrara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ferrara,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.834713,11.626828,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126365,Archivio di Stato di Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.158237,10.796815,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20697,Archivio di Stato di Grosseto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Grosseto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,42.761597,11.112967,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116649,Archivio di Stato di Bolzano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,46.502975,11.343086,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20699,Archivio di Stato di Genova,http://dati.beniculturali.it/mibact/luoghi/resource/City/Genova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.403217,8.936816,Free Entry
